x,M1,M2,M3
0.35,1.0756553890126013,2.366058016833904,3.9601844053193993
0.36,1.1029844218151577,2.4191588220811573,4.036500618348193
0.37,1.130056203573105,2.471294429146922,4.1107267799511975
0.38,1.1568673685770834,2.522466522874053,4.1829002766311705
0.39,1.1834147858078317,2.5726779763521983,4.253060351679678
0.4,1.2096955569633867,2.6219327866587583,4.3212478232721265
0.41,1.2357070141241666,2.67023601024467,4.387504818767368
0.42,1.2614467170739516,2.7175936983155093,4.451874525623291
0.43,1.2869124502953302,2.7640128325318214,4.514400959122685
0.44,1.312102219658451,2.809501261325664,4.5751287469119095
0.45,1.3370142488222967,2.854067637103107,4.634102930187886
0.46,1.3616469753678042,2.8977213545754044,4.691368781225804
0.47,1.3859990466822931,2.9404724904348174,4.746971636819474
0.48,1.4100693156146393,2.98233174456504,4.800956747107006
0.49,1.4338568359205586,3.0233103829509043,4.853369139174726
0.5,1.4573608575172317,3.063420182427819,4.904253494770457
0.51,1.4805808215662257,3.1026733773882462,4.953654041411535
0.52,1.5035163554034212,3.1410826085406827,5.001614456141588
0.53,1.5261672673342532,3.178660873796057,5.048177781171465
0.54,1.548533541312203,3.2154214813372524,5.093386350631988
0.55,1.5706153315179456,3.251378004909805,5.137281727668057
0.56,1.5924129568561196,3.286544241355467,5.179904651113421
0.57,1.6139268953860704,3.3209341703954505,5.22129499100195
0.58,1.6351577787023688,3.3545619166567677,5.261491712193161
0.59,1.6561063862802463,3.3874417139229624,5.300532845415954
0.6,1.676773639800487,3.419587871579793,5.338455465064216
0.61,1.697160597467616,3.451014743217042,5.375295673109927
0.62,1.7172684483345397,3.4817366973393202,5.411088588533181
0.63,1.7370985066461193,3.5117680901317634,5.445868341703368
0.64,1.756652206213447,3.541123240220479,5.4796680731809815
0.65,1.7759310948298652,3.5698164053627113,5.512519936444776
0.66,1.794936828739083,3.5978617609976524,5.544455104083833
0.67,1.8136711671650418,3.6252733805857087,5.575503777028238
0.68,1.8321359669124675,3.652065217661715,5.605695196425046
0.69,1.8503331770463542,3.6782510895259355,5.635057657798256
0.7,1.868264833657963,3.7038446624957677,5.663618527161901
0.71,1.8859330547242446,3.7288594386407112,5.691404258784497
0.72,1.9033400350669385,3.7533087439232595,5.718440414330557
0.73,1.9204880414169752,3.777205717669027,5.744751683130777
0.74,1.937379407589208,3.800563303290442,5.770361903356817
0.75,1.9540165297718926,3.8233942401896726,5.795294083899273
0.76,1.9704018619347565,3.845711056768107,5.8195704267685535
0.77,1.9865379113589938,3.8675260644716647,5.8432123498579305
0.78,2.002427234291943,3.8888513528032664,5.866240509926138
0.79,2.0180724317287577,3.90969878523614,5.888674825673472
0.8,2.033476145322868,3.93007999596398,5.910534500800663
0.81,2.0486410534265977,3.9500063874265945,5.931838046953769
0.82,2.0635698672628946,3.969489128552132,5.952603306470984
0.83,2.078265327228688,3.988539153659747,5.9728474748589555
0.84,2.092730199330061,4.0071671619691065,5.9925871229366
0.85,2.106967271749045,4.025383617665847,6.011838218593949
0.86,2.1209793515415325,4.043198750474739,6.030616148122082
0.87,2.134769261465491,4.060622556694878,6.048935737077887
0.88,2.148339836938391,4.077664800653832,6.06681127065422
0.89,2.161693923122507,4.0943350165401435,6.084256513532267
0.9,2.1748343721365058,4.1106425105760716,6.1012847291982
0.91,2.1877640403915155,4.126596363494766,6.117908698711245
0.92,2.20048578604972,4.142205433288446,6.134140738914341
0.93,2.213002466603286,4.157478358196271,6.149992720082513
0.94,2.2253169365713177,4.1724235599027875,6.165476083007122
0.95,2.2374320453123913,4.187049246919848,6.18060185551728
0.96,2.249350634950098,4.201363418126829,6.195380668441911
0.97,2.2610755384089014,4.215373866445837,6.209822771018234
0.98,2.2726095775575637,4.229088182630383,6.223938045754195
0.99,2.2839555614572973,4.242513759147632,6.2377360227538645
1.0,2.2951162847117303,4.255657794135946,6.251225893516126
1.01,2.3060945259157597,4.268527295420956,6.264416524218056
1.02,2.31689304620029,4.281129084574752,6.277316468495152
1.03,2.3275145878698593,4.293469801004159,6.28993397973137
